id,hash,timestamp,network,token,value,valueUSD,gasPrice,gasUsed,gasFeeETH,method,status,blockNumber,confirmations,from,to
225,0x56404ed6778a88f8aac9626819101dcf36e18c870b0a7695fea665b5bdff801f,2024-10-17T13:28:00Z,Optimism,ETH,94.791929,1214692.38,9.23,219990,0.002031,flashLoan,confirmed,19122941,9757,0xd26d510d026ef74bce495583765e3d2dfbe1416c,0x1460160e508b579def42dda536239858630b1272
258,0x7ebee6f2e2666de15ad0269f566aa2366da75d437af8a29c255cd1df70415b10,2024-10-05T19:38:00Z,Ethereum,ETH,21.104731,633695.11,76.43,60197,0.004601,flashLoan,confirmed,19020475,34082,0x367838a42409dde7d230958b4a777cec2c9444d1,0x054002899941c4a85ed0802a72f3dc437553db60
266,0x2172ddd594fc6499f870e8b808a74b197098fa04bebafcf7b4f81269f9d4712b,2024-10-04T02:29:00Z,Polygon,ETH,133.133672,1551759.36,78.8,206594,0.01628,mint,confirmed,19129980,33195,0xd26f3045a8adc15d190f429c45548c5abb881524,0xe3593beb09e1d1ad169cc3258830a9c8975f5ae1
275,0xfd764207e840b777be27c59729794d915868469c2e9f474a95a23e3a6a9b4daf,2024-10-02T03:42:00Z,Optimism,ETH,125.368063,2896940.32,66.84,273485,0.01828,addLiquidity,confirmed,19161803,12982,0x80cf4b84988b202d49ad370938bafb8215d1f73c,0x94cc2ad8577923aa4ba3d86b318f566cc587dda1
282,0x30c3fbdc859193e40f545abfedf8002903b2da0c86cab0d45554921d6bfb9a37,2024-09-29T04:06:00Z,Optimism,ETH,11.841881,377388.41,19.3,100488,0.001939,addLiquidity,confirmed,19085777,31253,0x6438be476b1d96f0d76e99112e44624b3677bd6c,0x74743e37f19a5f08cd01eef8d94ff72f5945b9d4
296,0xf6e1053458cdecf2132d510d56c40387289453e5d3740c8c6c6a55136eb2b933,2024-09-21T19:00:00Z,BSC,ETH,241.195584,7737107.62,30.57,313124,0.009572,transfer,confirmed,19020591,34222,0x79ece4f0c428dcf203225c5c8186f96b39d65130,0x941a92ea33800e7642150ca66391602aaeb80788
331,0xbe920581db1201b14d9b73ef750e6e6fc1aa9f2793d07b1a1cbc13992a7bf08a,2024-09-11T04:35:00Z,Optimism,ETH,410.585904,3613766.63,25.68,99428,0.002553,bridgeOut,pending,19077682,0,0x93bc0cc41294d60c1be49db21e326e37c99c6bb0,0x582eeade37b123e5a46018a49649e3b8c11172e5
348,0x410ceb51ab6d6e5c0ed2f5f99f7d718abf07133114df1aba4b422bd3c8376e34,2024-09-05T09:24:00Z,Ethereum,ETH,491.69285,19184940.65,40.9,314060,0.012845,bridgeOut,confirmed,19161421,23373,0xf4eb3888c6967beaa243cdef59260cb63132c57b,0xb877b352d67d33ee1abff067420f4116b09cbbaa
362,0x77f3f4663bc3fada1652c5cd65a11b90dcb97679e1fc8794ad63ef557ec21516,2024-09-01T03:07:00Z,Optimism,ETH,351.880582,3765710.48,26.81,158854,0.004259,mint,confirmed,19116140,41868,0x33711f49faab3f342ac1921ffb21d208d6b12a7e,0xa55d89720a8a85857fa1727870450caf6d2f6b8b
367,0x59072d7c306a31551ad53283f9fdaed9d66a3f13564e350d960135e1052abed3,2024-08-30T11:49:00Z,BSC,ETH,178.920705,317403.17,119.52,321212,0.038391,bridgeOut,pending,19057322,0,0x21e43fea11f7907ac5cbc96d4a0b3dffac11d356,0x74fff765369e49c0bb8156b20c1fc9734554ac1d
368,0xf4350324da5e118a16050dec050b6c951fd8451251cfcc144e29d94d9d5aea7c,2024-08-29T16:22:00Z,BSC,ETH,333.871545,9159573.23,27.11,334670,0.009073,mint,failed,19093172,0,0x0d03696d85a0f65ab40cfbd19f63b9b1db1e1430,0xe9d1ab2702a48558efcf3de0a76dfa17e2ee1773
374,0xc9d78306807e2f02f4109082e128c16f3b357ae961b2aaf866f61193ed9681ed,2024-08-28T00:53:00Z,Polygon,ETH,476.618252,13101372.01,29.24,331275,0.009686,flashLoan,confirmed,19077965,37231,0x16db91026f390319cbc823e28ec62ee90f58613c,0x59aff8507d4350ce0590df4199bcfbb35ebe95ac
377,0x6c2b385a2892059da0ff8f9c9756f9b659b2091d2a833679b8abc574f26c5e33,2024-08-26T23:45:00Z,Polygon,ETH,136.729271,4246982.38,71.14,190514,0.013553,approve,failed,19165252,0,0xbcfb524e4fd91577fd20d3bf545342f04d7602d1,0xd378854243a5e7f0e2e88e8c3f5b05d21ccd4a15
387,0x66a3ccb926b85b7f833ee2cf2f23b165c7808909db0d36fa6abbf40202fbae71,2024-08-24T19:15:00Z,Arbitrum,ETH,433.710118,11912030.31,104.04,222962,0.023197,burn,confirmed,19012152,7510,0x8f39ba1e66d7cad4e98928b61e54f5a20f42bbff,0x6b3e90775a7810c3d1d6592b9d8157e2d599fe71
388,0xf396b5204e55a4b8fce18f5c8c598f8178bbdebe0f1d21dbbf838fb33fb50017,2024-08-24T19:10:00Z,Optimism,ETH,31.320788,276184.58,50.14,132000,0.006618,addLiquidity,confirmed,19099374,7303,0x67e5b47ac8723894e65d83d5d6e0644f6f442bd5,0xc65d58b0608d067bb86429c2ed3f4ad278f58529
403,0x3be79d7a118fba682f078a9f6fe9228b6876eeb4d9bb8ea61aad8c7d38b6ddb8,2024-08-20T03:25:00Z,Optimism,ETH,359.602295,10538633.71,23.85,230049,0.005487,swap,failed,19197474,0,0x682b0ec6c9ef6cc719a3bc7bc4725e346453fd0b,0x02f3b683ba42b7385d961896276990770cf91a01
405,0x244c85368d9f895f3f684f109fbabc8192ba6c136141a1e8540be3488049d911,2024-08-19T14:08:00Z,Arbitrum,ETH,72.51992,679485.93,50.02,164748,0.008241,stake,confirmed,19174092,13024,0x3cc4d0433e00b108ffe0015d61dea8d8db653d88,0x819c347eefa1ce5cf0730a4629b78c36636b3e41
425,0x0da7b8e2dd49fecf37e880d62576cd0c80f29a952b26fdc03a53f888ce34f1a7,2024-08-13T09:06:00Z,Polygon,ETH,498.995368,14695196.68,93.04,290598,0.027037,bridgeOut,confirmed,19104845,15589,0x01530f1bf4a07d69157f3e79b1a7aeafbf08da6a,0xb341ce0a3d53675d54af861ebd2f9e37663a03e5
429,0x3986a97fec755f280169504624577e4b079f5b5aa2b55a380828278fed2466f3,2024-08-11T01:26:00Z,BSC,ETH,84.046606,177218.42,40.95,158126,0.006475,approve,failed,19136909,0,0xd7dc989fa96259acfb872e7509819891839b5a4e,0xf7c1f38021e5fded952ca2c5ec4dc6e83ae39e83
442,0xc525e5259da3a4c0ec2aa06f57804fe825f39a1a3dd92f969ba28d1a8434cab3,2024-08-07T01:17:00Z,Arbitrum,ETH,451.766657,2837657.86,119.17,89722,0.010692,addLiquidity,pending,19080431,0,0xd0cf0d5f0a88d8a0ea3d8ba949cd06b6d3ad7a49,0x322e75ed7de474ad09a0d3e47c20dbc6b80312bb
454,0x20353a206826e1eaf7b8c00d7673a0e3a4aa46de7b056da87cf67d016f2a0922,2024-08-02T22:28:00Z,Polygon,ETH,126.137121,2497185.47,93.54,47514,0.004444,approve,confirmed,19108606,14963,0x1a3054dc276095ec52446a82981b22926c490318,0x1f57e0544526c321c6fc455a7afbc0b1c9c3387a
522,0xa56905dba3bf6c10689a54d7b276e29c93e3cd2d7d084c5e4a658e2d9c47a681,2024-07-05T15:22:00Z,Optimism,ETH,108.20264,2111696.43,117.12,209034,0.024482,addLiquidity,pending,19082489,0,0xa0d33d6db0dc4e4ec5f2a9c3a4b28b6cd6d4cb00,0xdf07b43711485c4918a0be4e0483d0a47c76e9cd
525,0x9519483756d3b75bb9b45c4ce6094c4a11a918fe819a81e26bf8900e8e572179,2024-07-04T18:59:00Z,Arbitrum,ETH,99.261193,1978285.61,56.22,202404,0.011379,bridgeOut,failed,19022065,0,0xdee542ba3f47760bd83ce30dd5d53fe89ee95a3d,0xfec9c35c6d0649988d3ed61abce76fc233d5b718
535,0xff4372d1afa3f4ffebf97e81d4be97faa7693210ba1d5f5823f9c5fd38aecef2,2024-07-01T17:48:00Z,Polygon,ETH,217.061989,3686745.15,35.16,102174,0.003592,unstake,confirmed,19082420,18093,0x8ce9063bdfe9475ed2155afa4c00a32b27c9acac,0x03276631765f267513d99c072a21b4bf06d3371b
566,0x4c567a7665b9206e5b2df4349ca5b70ce6d49af655a5283d6dbf92dd15d4caa8,2024-06-20T20:57:00Z,Optimism,ETH,332.602586,12197755.31,92.62,160946,0.014907,flashLoan,confirmed,19195834,47296,0xd8b4f61bbae2b701031dca080d1eec8cadcd6260,0x4a2e878482aee59c631875db4cc4d4c7c58214c2
579,0xac42715e5d67c07cd735cce828f229d433657bb4f49589b6a2fc62a57c33d19e,2024-06-17T18:58:00Z,Arbitrum,ETH,392.185841,12356263.18,55.23,315031,0.017399,approve,confirmed,19018296,42993,0xeaae92dff4a1386fc19b35651a12fc7ff8d4a93c,0xaf06637d046d5f29002b09870d78f95fc0b04662
589,0xd1528e2fdf58f151ba1c2376593f63758808eb35dd6aaa42c8d15e4d4572ec5f,2024-06-13T06:39:00Z,Arbitrum,ETH,141.488167,1354383.65,25.57,78730,0.002013,swap,failed,19144555,0,0x7cd1edb35683a9e41d04b9b636da49b23683d0e5,0x5516226f51657a13bd64a309326df8277a332a82
594,0x1c56073fc46aabb112d47053f890231696c732bedfb6d722392bb8e179923d04,2024-06-12T15:55:00Z,Arbitrum,ETH,473.778341,3106186.17,5.35,312075,0.00167,swap,confirmed,19192488,28583,0x77e5d68b81e2bad9bc5c2acb348f5d741c738363,0x8bc60a54572698663aeaa011e2f8b087075ac82b
599,0x8c8b21ecbc3babd24736bbe7de77fe3b1b3c9b54c1b2434a0fae8cefc97041d8,2024-06-10T10:41:00Z,BSC,ETH,129.888145,5274299.04,18.7,139023,0.0026,unstake,confirmed,19097922,5927,0x1a746734a53b071b495833f348bb1c261654af43,0xa2e1df2304cd3d0815184af8001f784836091e6d
606,0x41df61e8717ea68346f8cd76931949195e5c2d749e23a6ad70e75fa644c27985,2024-06-08T15:41:00Z,Ethereum,ETH,414.036452,12631045.13,31.17,148178,0.004619,unstake,failed,19121037,0,0xd4b516815f04cb8718c2d14d53d01e74f24ae6db,0xf26a3e71a387dc3ca91dc35d1adcb383fbacb30d
619,0x3483b5921ff1e1c7f36c06f67c6ae51c6c1f3f474e71667952d58738f3e45a86,2024-06-02T07:52:00Z,Arbitrum,ETH,239.690489,4858179.41,83.9,58004,0.004867,bridgeOut,confirmed,19157907,6333,0x6c4840b00800a25e5e13c0974d5f7b76494ad53a,0x03e370605cd020764dd2841f484baca1450937af
628,0xc1f6c95549eb6d7df388f22d704adb94f830963c11837b2e3dd5fd0eec4782c4,2024-05-30T05:57:00Z,Optimism,ETH,122.624483,500655.47,7.2,226870,0.001633,bridgeOut,confirmed,19043068,6215,0x0ca2d8769146a55888c788eea92736baa4af0f6b,0xe93716aec0b75121b846e8d85b4f6d368f231e2a
634,0x17b1a3cb2a5292f0a97bbe7a769a1954117a94cd18afc696672ffe6439ab842f,2024-05-29T01:43:00Z,Ethereum,ETH,454.141013,17519440.28,44.55,296608,0.013214,swap,confirmed,19189846,38963,0xa1df0e865c64a9da123d2684bae0816fe77d8c3c,0x939de362c9d201eb039aa49d21b1d4e4272ff703
644,0xe783efec4438d6b88fe89f2a0e98d44a670dcea96b67618aa20ad9de28d6ebc5,2024-05-24T02:14:00Z,Polygon,ETH,31.710011,1208635.91,20.74,240985,0.004998,flashLoan,confirmed,19089791,17899,0x1dbdf472f5e1004c31785876dc627883ba5c13d7,0xb66da785813b6e01b7d95ce5908492d27570106c
646,0x5214a1555a36c73b4d32279e7b1a6879fff04af4352eaaca06dbcf1364123b81,2024-05-23T17:15:00Z,Arbitrum,ETH,217.102915,3968312.4,63.13,341435,0.021555,burn,pending,19058418,0,0x13ebf3e2d4c2f0b2b9aa6a1f32e9f767461a1231,0xf83a6806b3d31d3ac6cab90ddf525441d42e41da
650,0x51849c258b994e0a8b6f82d921bbcaae18195fe26db1eee90fd58bd087cce94f,2024-05-22T05:46:00Z,Optimism,ETH,483.261545,15330490.82,13.04,148872,0.001941,swap,failed,19125937,0,0xf6e5c6befbc24589690f6f372e823d160a49703a,0x7585a53a1274306605b73213f11255041cd4fcd6
651,0x2de4a7ba81e2f054471194d89711ea839f1eff18c17b023175832cb0ae49dd44,2024-05-22T01:44:00Z,BSC,ETH,123.346753,559477.97,61.77,22639,0.001398,flashLoan,confirmed,19098779,2154,0xf1f6b89235abac68808190a4e652dcb811bfdcb3,0xf2b78e5ce06534e97afb875c7881e1beb7c86c23
657,0x6bc93a76dc2bc18a8b03b5f79bcd4c1fa207d2861d916ce054f9d0b51988664c,2024-05-20T11:56:00Z,Optimism,ETH,3.724418,99830.33,83.29,58170,0.004845,burn,confirmed,19194224,3772,0x26c8f421891b9147a5ed5a3880cf5d9a43663719,0x0a053ab8c2c6816a3cb7e9907bd252db123bb2ef
659,0x437f6230fbb76484f8d5fb7dabc5db34cd39b1c2db3b3213790045783075d34b,2024-05-20T06:34:00Z,BSC,ETH,339.831211,1047057.69,30.59,215234,0.006584,flashLoan,confirmed,19180527,49937,0xac795d44512efe77128debbf0055ab0489ec079c,0xbe176bd8b1c98a01c8bc72c08e12a62563a34c1a
664,0x28913aa776118f881642b14ceb29632a867bf80c181737988cbd8c3ce92a36a6,2024-05-17T18:22:00Z,Ethereum,ETH,216.598077,9360924.61,105.55,263815,0.027846,stake,confirmed,19007431,37346,0x36f5ea9991084a99f75269bd5c8a1d6b9b1f404c,0x00861b2a9d46c2926c12f5eefd916b82510d523b
666,0xd0dcdf86730c8ebb6a317d811adea5aa03f6bfc52410de36a54a842ab305b41a,2024-05-16T01:16:00Z,Ethereum,ETH,339.403848,3740050.67,63.63,104693,0.006662,stake,pending,19188209,0,0xc052b71a5d756669715f72dd8709923a04c62451,0x4a7a3829e7a2a8d0e1eddc03d0a5e0c1bcb65aba
668,0x3a6671575d37afff4fdfa30b3028d0b633bb6c3d51879032f95a43ff657ddbbf,2024-05-15T11:23:00Z,Optimism,ETH,149.516643,4531788.2,49.2,342984,0.016875,unstake,pending,19073899,0,0xfa3ea52913dc7e5dcf22598580decbcb2f60826a,0xf22157790c0ee5bb644c79dad88a5340f5863051
674,0x7fffe8645f773b70dc80936d857c9c56d64637b1ff641cf3435da616712419f7,2024-05-12T05:56:00Z,Arbitrum,ETH,306.940105,5529880.11,12.33,160653,0.001981,mint,pending,19052920,0,0x41034e96aba742fafcc3880afe9ef9f214d0f256,0x591a9a8f5b2fe2578c938a2c38eacdd29a64b6ee
684,0x2cc26a4044063d800b2e646e85933b760fe363858e06d25894fe86caad156277,2024-05-07T18:18:00Z,BSC,ETH,117.413692,1755577.62,8.93,256497,0.002291,approve,failed,19117841,0,0x5cb6f102fb323747f6cdaca2e2278d28d1439328,0x0ad621fcbae27e852170b5d85beca22eb062d31c
697,0xa57ae3f3b4aecf02ea9080863c6e8899bb8267a5c694a2f1d56ece2743f84932,2024-05-02T02:22:00Z,Arbitrum,ETH,1.912508,62776.76,90.1,88824,0.008003,swap,failed,19101447,0,0x2cf7c6a28f4b52ea1d25bac2d613902d06f93906,0x02796721af890a60c31b34c1c82a80dd52772c81
711,0x2fd8d07931d1d57c5e45cf8b3306c90d0935238a91793f08e44fe7f5743cc27a,2024-04-27T17:04:00Z,Ethereum,ETH,223.99682,3038521.73,81.61,184344,0.015044,bridgeOut,confirmed,19087205,12082,0x0aa07c5ecc94c3a5a8b6f809bfdc97c2ba93c3e2,0x1107180a34257a96f7715b04d1fde6522c68de1f
712,0xce4c43a67729847f6ae3d966e5165b651c573d641ccf7ad4dabfaf9ca2fa9dc5,2024-04-27T06:14:00Z,Arbitrum,ETH,279.760092,12303770.91,53.8,63766,0.003431,stake,failed,19196207,0,0x86960c4c51625ca3c9435318ac0f66abf913cb9a,0x68ef32ce371fc85c0f09c8a0aee71f4e26129ddf
727,0x582ccda68a036007f84fc39c98ae5a380dbf216f2d8d10af42a933e09d26e4fe,2024-04-22T15:57:00Z,Polygon,ETH,277.623701,6475995.45,36.09,132740,0.004791,swap,confirmed,19022173,48059,0x8f1eb5cbec75737ffc195ce3045865ad04c1c8da,0x1b19ddd4b4b14c96e88f52cedfb617cf3224ae55
733,0x1bbe6b6c7e2003ee355177acd0e44063d1612be54f63f4d6d5f01bb599328979,2024-04-19T03:17:00Z,Optimism,ETH,274.90134,1751657.16,50.04,335074,0.016767,addLiquidity,confirmed,19130986,17532,0x24ac320f535433dc2eea390e02365919daae4960,0xf1c6d8f96110268a98f8d38ca786c42bd90f9716
741,0xac40dad196d22f178282330c43b756f33f069a230c486fe33306fc43176594a8,2024-04-15T21:23:00Z,Arbitrum,ETH,258.456092,10541558.74,42.84,295061,0.01264,swap,failed,19162028,0,0x14773fd513c65e146239b644ab89f70b32d378e9,0xb149861de382da3e1051aa91bbc9d9f15b6ee09d
751,0x330c00e38723cffd0a9b124ecd3508ee0f852962cb1e1eb126f32bdc53b20435,2024-04-11T20:50:00Z,BSC,ETH,243.328844,8076185.76,114.75,176490,0.020252,bridgeOut,failed,19072504,0,0x4be34182070eeb9673b3460a3a30393e903fd238,0xf6a8da01fc764050eae2e1979ea34b8318ff869e
763,0xee7211816d9468dc3729cd3c2aff12e45ae21435236196bff15f1342a57e9df5,2024-04-08T12:47:00Z,Polygon,ETH,63.310885,1638531.04,10.32,233102,0.002406,approve,confirmed,19111030,44816,0x6118bc86bbf4a78382df17da01bc534417c6a266,0x1637e07fb40163f6729f11183ae4def9976404da
795,0x06f9752770b19e62fdb6282428e6ca34c03e4fd0f521fff6621fb15db4dc6fa8,2024-03-29T19:44:00Z,Ethereum,ETH,162.221209,6378870.73,65.63,272107,0.017858,mint,failed,19159423,0,0xac09787855919e6cd1df8c27925dba95a54db56e,0x96a8162895ab78b6ac37079087d2f20975b16344
797,0x14c65e4ae411151f6e99d0347cb34e744542618dddbe8fd2b131cf4426918dcb,2024-03-29T08:26:00Z,BSC,ETH,305.402202,1542441.78,40.26,130403,0.00525,mint,confirmed,19019498,16595,0x7850958f175e184244bcc3ca42d2dc5eabeadd56,0x36640765ab6e5ba5aaa7fd381cfe4fd0352cecbe
802,0x8b0089b8ffec10991e2e5f7c07b84d1c506d82527ec4959cc69b62f419a4e6d0,2024-03-28T03:12:00Z,Arbitrum,ETH,169.14994,1178818.47,76.69,65647,0.005034,unstake,confirmed,19197826,20821,0x69c370ce6ae1ce146c4b4ddea9a6ed430659a22c,0x4b5315b0de47857f94694e0feaae571a506775f8
830,0xee6feb77f8533e08c9bcefa3277f91a899709d6e386e45d5184e468596dd264d,2024-03-18T01:52:00Z,Arbitrum,ETH,431.309639,5819645.46,67.35,280258,0.018875,unstake,confirmed,19097208,43466,0x6b6852fdd182b8f8f7b842c85f0a4f0484d0bb07,0xc9dbcf6220ac059cb72e4fcfb839fd16c79c184b
848,0xc9e76420078fe1c63fb2580330ef29b243ca01b6612b9fe7605f41c0c0fb85e9,2024-03-09T06:09:00Z,Ethereum,ETH,238.242047,9933407.09,91.19,247820,0.022599,burn,confirmed,19123040,11377,0x0bc735776509141511d788d1677dc1fc1a35b31a,0xa87185391e9fdb3f1eb38536f47994ec0ea838b8
857,0xdaf046aa587d6ab5bbc17841e778934a2b456f819ed7fe963146f4debf731dc1,2024-03-05T20:37:00Z,Ethereum,ETH,91.830277,698830.37,68.07,227703,0.0155,bridgeOut,confirmed,19019412,11185,0x97727869347d4967ceac7bdeb308b94c7e111614,0x467204e210089e4624836a061766c37562bead41
880,0xfe31866818f50b5e0350095816fe4d46831ec253180d80e9461c1ec0a643ae61,2024-02-26T15:39:00Z,Ethereum,ETH,298.830256,2165328.57,116.09,126969,0.01474,swap,confirmed,19140019,21305,0x23e2ad835db2d9980ac9083f325b190b3b51a19e,0x64b14893a3ca4ab2c76d2b606237b0890ba37389
914,0x5b5be119e0b27c281752de3836419b311139d4c3cd8698dbc85c5604ffb985ba,2024-02-18T05:54:00Z,BSC,ETH,5.608365,195542.52,54.99,189431,0.010417,approve,confirmed,19084837,46131,0x45b2ff1ee2db5b6d0803629c714beb28e9a77472,0x7c5864cede869de66b3c2ba77066535f322b84e2
920,0xb6cdbf70a8685d3a888be395e10e37b8c196718beb1006d49d56d26313bc279d,2024-02-16T23:32:00Z,Polygon,ETH,44.837538,814633.42,44.12,202594,0.008938,approve,confirmed,19149671,29598,0x036fbb899957495fe41c1b33cf5e9cd37d37250e,0x148edac3710f0fac888dc89b645c21f8e290b9c2
937,0x7ad9e8032621346f3edf460ef48ae8ed92e611cd71aa9097c4a0a54f1534925f,2024-02-09T17:04:00Z,Polygon,ETH,126.926759,507435.06,64.02,321920,0.020609,flashLoan,failed,19103126,0,0xddaf5409b5636682d764e04c76d93c245ad7f8cf,0x01f8726130c2328bee689569e4f1fbb4036593b8
942,0x00ef43ce12dc12e99f5b98fd90ab2dd5a60e64461b03cfdd6a7d6948a2bde9e5,2024-02-07T10:36:00Z,Polygon,ETH,398.051084,11723819.11,19.76,312464,0.006174,transfer,pending,19082129,0,0x2383588263d22bc8af0fede0da9ddcd88fa9d197,0x71801f980a3e019b0e21a7b7d3a3330d92cb9f33
958,0xfd95a187790a19420a81ee0c9763d45318c0b5eb74123abe81ba02e11ae69198,2024-01-31T06:15:00Z,Optimism,ETH,300.984206,8309663.01,70.86,188075,0.013327,unstake,failed,19068719,0,0x4f8579690d208894cba342a118c399d8b75196d3,0x6bcc34ce688b434e452dbfb281d4f6f454f67928
962,0xf4f711cc1c9a9f5d6cb01fc1a803f98ed606c2bf1336bd400ecbcf9731332a16,2024-01-29T07:52:00Z,Arbitrum,ETH,331.079666,13333277.29,106.97,289146,0.03093,burn,confirmed,19136819,49831,0x7c2069f76cc07efd864ab423c08495be2b2057bf,0x2c4482103820f58000dbd3c8118e4b7010fa92e8
969,0x139e93e1634d042dbdf857a2ff111aec989a76f107f436db6aa3c15e4d75c64f,2024-01-26T18:08:00Z,Polygon,ETH,22.453288,920180.88,9.07,76094,0.00069,burn,confirmed,19045749,47200,0x5a584acd5275c9a900cfff921988d0f5e0e07152,0xeca817e60a5c6e5802deb00175e58fc07a5bf536
984,0xfd3abd91fa60f1013615286d70c91154f3b8b3cd916163649e7776fdcff3ff80,2024-01-23T03:12:00Z,Arbitrum,ETH,98.101585,3939997.94,10.88,341689,0.003718,swap,confirmed,19075070,33174,0xd146121ef583c091c67fca2051cb98a20d806287,0x18081c7d3afdcf39ea3fcb41d369410a1ce02543
999,0xd2657ee56487bef5ec859be4ae606d9cf102ad4089d035c58961303a0370f227,2024-01-18T01:22:00Z,Arbitrum,ETH,80.861685,1647329.91,68.27,245464,0.016758,unstake,failed,19104902,0,0xa76a95b31254914b5239d67c77d8e8ba62ff44ce,0xc709e6a40e06397ca8eb7edd3b949426ae8f2777
